step,phase,ee_x,ee_y,ee_z,joint_base,joint_shoulder,joint_elbow,joint_wrist_pitch,joint_wrist_roll,joint_left_finger,joint_right_finger
0,warmup,-0.07981960475444794,-0.004255905747413635,0.33332327008247375,0.053269073367118835,0.00821051374077797,-1.0629284381866455,0.009990015998482704,-0.029385413974523544,0.25281864404678345,-0.25316932797431946
1,warmup,-0.07981960475444794,-0.004255905747413635,0.33332327008247375,0.05326905846595764,0.008210507221519947,-1.0629284381866455,0.009989997372031212,-0.02938539907336235,0.25281864404678345,-0.25316932797431946
2,warmup,-0.07981960475444794,-0.004255905747413635,0.33332327008247375,0.053269073367118835,0.00821051374077797,-1.0629284381866455,0.009990015998482704,-0.029385413974523544,0.25281864404678345,-0.25316932797431946
3,warmup,-0.07981960475444794,-0.004255905747413635,0.33332327008247375,0.053269073367118835,0.00821051374077797,-1.0629284381866455,0.009990015998482704,-0.029385413974523544,0.25281864404678345,-0.25316932797431946
4,warmup,-0.07981960475444794,-0.004255905747413635,0.33332327008247375,0.053269073367118835,0.00821051374077797,-1.0629284381866455,0.009990015998482704,-0.029385413974523544,0.25281864404678345,-0.25316932797431946
5,warmup,-0.07981960475444794,-0.004255905747413635,0.33332327008247375,0.053269073367118835,0.00821051374077797,-1.0629284381866455,0.009990015998482704,-0.029385413974523544,0.25281864404678345,-0.25316932797431946
6,warmup,-0.07981960475444794,-0.004255905747413635,0.33332327008247375,0.053269073367118835,0.00821051374077797,-1.0629284381866455,0.009990015998482704,-0.029385413974523544,0.25281864404678345,-0.25316932797431946
7,warmup,-0.07981960475444794,-0.004255905747413635,0.33332327008247375,0.053269073367118835,0.00821051374077797,-1.0629284381866455,0.009990015998482704,-0.029385413974523544,0.25281864404678345,-0.25316932797431946
8,warmup,-0.07981960475444794,-0.004255905747413635,0.33332327008247375,0.053269073367118835,0.00821051374077797,-1.0629284381866455,0.009990015998482704,-0.029385413974523544,0.25281864404678345,-0.25316932797431946
9,warmup,-0.07981960475444794,-0.004255905747413635,0.33332327008247375,0.053269073367118835,0.00821051374077797,-1.0629284381866455,0.009990015998482704,-0.029385413974523544,0.25281864404678345,-0.25316932797431946
10,warmup,-0.07981960475444794,-0.004255905747413635,0.33332327008247375,0.053269073367118835,0.00821051374077797,-1.0629284381866455,0.009990015998482704,-0.029385413974523544,0.25281864404678345,-0.25316932797431946
11,warmup,-0.07981960475444794,-0.004255905747413635,0.33332327008247375,0.053269073367118835,0.00821051374077797,-1.0629284381866455,0.009990015998482704,-0.029385413974523544,0.25281864404678345,-0.25316932797431946
12,warmup,-0.07981960475444794,-0.004255905747413635,0.33332327008247375,0.053269073367118835,0.00821051374077797,-1.0629284381866455,0.009990015998482704,-0.029385413974523544,0.25281864404678345,-0.25316932797431946
13,warmup,-0.07981960475444794,-0.004255905747413635,0.33332327008247375,0.053269073367118835,0.00821051374077797,-1.0629284381866455,0.009990015998482704,-0.029385413974523544,0.25281864404678345,-0.25316932797431946
14,warmup,-0.07981960475444794,-0.004255905747413635,0.33332327008247375,0.053269073367118835,0.00821051374077797,-1.0629284381866455,0.009990015998482704,-0.029385413974523544,0.25281864404678345,-0.25316932797431946
